iter	Logloss
0	0.6516475475
1	0.6195761885
2	0.5883072629
3	0.5627508656
4	0.5385760805
5	0.5182666144
6	0.4992344443
7	0.481539954
8	0.4653619864
9	0.4528236387
10	0.4408515832
11	0.4289492689
12	0.4179101881
13	0.4083349901
14	0.3992087952
15	0.3918698551
16	0.384306531
17	0.3781374847
18	0.372606025
19	0.3670584101
20	0.3624737487
21	0.3580148568
22	0.3527130756
23	0.348982737
24	0.3443959662
25	0.3401823578
26	0.3367166713
27	0.3334277537
28	0.3296219119
29	0.3257955361
30	0.323668472
31	0.3201035641
32	0.3169634494
33	0.314124072
34	0.3108622623
35	0.3083266885
36	0.3056749137
37	0.3035929038
38	0.3012491855
39	0.2982062322
40	0.2960965991
41	0.29429951
42	0.2925745497
43	0.2897266507
44	0.2877008327
45	0.2861786782
46	0.2844309775
47	0.2822839134
48	0.2802720808
49	0.2786846308
50	0.2767347805
51	0.2746276516
52	0.2732954817
53	0.2719925652
54	0.2700335361
55	0.2680865916
56	0.2671274152
57	0.265046148
58	0.2639710815
59	0.2621441181
60	0.2608071645
61	0.2595851906
62	0.2581401527
63	0.2568817645
64	0.2552912233
65	0.2538636837
66	0.2526089011
67	0.2515075323
68	0.2500267623
69	0.2490989324
70	0.2480665257
71	0.2469197396
72	0.2454492187
73	0.2445955961
74	0.2439095811
75	0.2432561743
76	0.2421241815
77	0.2411608447
78	0.2396066347
79	0.2386960574
80	0.2379372494
81	0.2369743998
82	0.2349358177
83	0.2339930145
84	0.2329986707
85	0.231942501
86	0.230807108
87	0.2298815856
88	0.2289182619
89	0.2279222888
90	0.2266792163
91	0.2252985088
92	0.2244813453
93	0.223382091
94	0.2225544538
95	0.2217593733
96	0.2210438136
97	0.2200401876
98	0.2192364712
99	0.2183753125
100	0.2176008332
101	0.2169685846
102	0.215803878
103	0.2153754485
104	0.2143150544
105	0.2137303982
106	0.2129717476
107	0.2118812803
108	0.2110978743
109	0.2105731985
110	0.2097606324
111	0.2090453884
112	0.2084068466
113	0.2074980776
114	0.2066072538
115	0.2060401603
116	0.205056738
117	0.2044344839
118	0.2037422293
119	0.2031670887
120	0.2024298111
121	0.2017695723
122	0.2008901747
123	0.2004888577
124	0.1998999814
125	0.1991214491
126	0.198207043
127	0.1976594655
128	0.1970309538
129	0.1964565312
130	0.1957704285
131	0.1951770618
132	0.1942786827
133	0.193608418
134	0.1929901979
135	0.1922401026
136	0.1913812002
137	0.1904955082
138	0.1900462755
139	0.1890950316
140	0.1885117092
141	0.1877776518
142	0.1873300473
143	0.1869379877
144	0.1864059237
145	0.185768752
146	0.1850642706
147	0.1843534401
148	0.1837147386
149	0.1828275004
150	0.1822682494
151	0.1813956325
152	0.1809940652
153	0.1805377906
154	0.1797651629
155	0.1790103509
156	0.1783733568
157	0.1780097243
158	0.1772654579
159	0.1765395256
160	0.1759180689
161	0.1755060717
162	0.1749956234
163	0.1746436376
164	0.1738485638
165	0.1729783417
166	0.1725455528
167	0.1719608204
168	0.1713854376
169	0.1707094053
170	0.1700262153
171	0.1690586803
172	0.1683560318
173	0.1680263546
174	0.1677042934
175	0.167157823
176	0.166609545
177	0.1655781041
178	0.1650521057
179	0.1646079451
180	0.1640280262
181	0.1634133026
182	0.1629437471
183	0.1624972889
184	0.1618340637
185	0.1613820945
186	0.1609673093
187	0.1605084514
188	0.159480426
189	0.1586527671
190	0.1581975152
191	0.1575540766
192	0.1570748802
193	0.1565582574
194	0.1560413442
195	0.155382914
196	0.1549286245
197	0.1543735225
198	0.1538076619
199	0.1532485717
200	0.1524594366
201	0.1519478695
202	0.1514244449
203	0.151072065
204	0.1506770753
205	0.1502928132
206	0.1495701918
207	0.1491418289
208	0.1486026131
209	0.1479061459
210	0.1475423394
211	0.1470221964
212	0.146513905
