iter	Passed	Remaining
0	48	24106
1	105	26181
2	125	20825
3	177	21954
4	240	23817
5	287	23709
6	362	25550
7	394	24238
8	440	24027
9	497	24399
10	531	23629
11	541	22032
12	574	21526
13	606	21062
14	648	20969
15	690	20886
16	725	20607
17	779	20874
18	828	20975
19	880	21141
20	911	20788
21	935	20328
22	969	20107
23	1005	19939
24	1045	19856
25	1090	19873
26	1135	19893
27	1174	19794
28	1216	19749
29	1267	19860
30	1307	19777
31	1363	19942
32	1402	19850
33	1439	19724
34	1487	19765
35	1531	19740
36	1561	19541
37	1591	19349
38	1651	19515
39	1686	19393
40	1722	19285
41	1753	19118
42	1814	19282
43	1850	19181
44	1908	19297
45	1962	19365
46	1998	19260
47	2038	19191
48	2106	19385
49	2145	19309
50	2183	19219
51	2218	19109
52	2256	19027
53	2286	18887
54	2333	18877
55	2386	18920
56	2406	18699
57	2453	18698
58	2500	18689
59	2550	18704
60	2611	18794
61	2642	18667
62	2686	18635
63	2718	18518
64	2765	18505
65	2824	18570
66	2900	18744
67	2971	18879
68	3067	19161
69	3117	19150
70	3152	19047
71	3175	18876
72	3217	18821
73	3294	18967
74	3334	18893
75	3361	18755
76	3411	18742
77	3446	18645
78	3485	18574
79	3535	18562
80	3576	18499
81	3615	18429
82	3654	18361
83	3707	18360
84	3754	18328
85	3790	18247
86	3827	18171
87	3878	18156
88	3905	18034
89	3928	17895
90	3960	17801
91	4004	17760
92	4036	17666
93	4059	17534
94	4091	17441
95	4135	17402
96	4195	17432
97	4254	17452
98	4289	17373
99	4336	17347
100	4385	17325
101	4412	17217
102	4456	17175
103	4509	17171
104	4548	17111
105	4599	17097
106	4628	16998
107	4657	16906
108	4691	16828
109	4731	16775
110	4777	16741
111	4808	16659
112	4831	16545
113	4870	16489
114	4899	16404
115	4931	16325
116	4965	16253
117	4993	16164
118	5037	16130
119	5063	16033
120	5093	15953
121	5117	15854
122	5159	15813
123	5219	15827
124	5259	15777
125	5305	15746
126	5345	15699
127	5371	15611
128	5408	15556
129	5448	15507
130	5492	15471
131	5513	15370
132	5551	15317
133	5580	15243
134	5620	15197
135	5677	15194
136	5727	15174
137	5773	15144
138	5824	15127
139	5862	15075
140	5898	15016
141	5932	14956
142	5986	14946
143	6015	14871
144	6039	14785
145	6075	14730
146	6100	14650
147	6141	14607
148	6190	14583
149	6207	14484
150	6254	14456
151	6302	14428
152	6347	14395
153	6373	14320
154	6401	14249
155	6451	14225
156	6508	14219
157	6584	14253
158	6628	14215
159	6657	14148
160	6712	14133
161	6754	14093
162	6798	14056
163	6852	14039
164	6903	14016
165	6930	13944
166	6975	13909
167	7026	13885
168	7077	13862
169	7123	13827
170	7156	13768
171	7228	13784
172	7290	13779
173	7323	13721
174	7363	13675
175	7400	13622
176	7463	13619
177	7500	13569
178	7543	13528
179	7589	13491
180	7641	13467
181	7693	13441
182	7736	13401
183	7781	13363
184	7829	13332
185	7883	13309
186	7912	13243
187	7953	13199
188	7992	13152
189	8044	13124
190	8070	13056
191	8107	13006
192	8140	12949
193	8175	12895
194	8227	12869
195	8276	12836
196	8302	12769
197	8339	12719
198	8381	12677
199	8412	12618
200	8435	12547
201	8489	12523
202	8527	12476
203	8589	12463
204	8637	12429
205	8691	12404
206	8744	12378
207	8787	12336
208	8838	12306
209	8888	12274
210	8917	12214
211	8949	12157
212	8997	12123
213	9026	12064
214	9054	12002
215	9103	11969
216	9121	11895
217	9139	11822
218	9167	11763
219	9195	117032220	9231	11654
221	9261	11598
222	9289	115382223	9335	11502
224	9376	11459
225	9423	11424
226	9456	11372
227	9488	11319
228	9524	11271
229	9569	11234
230	9618	11200
231	9686	11189
232	9726	11145
233	9786	11125
234	9910	11175
235	9996	11182
236	10034	11134
237	10160	11185
238	10251	11195
239	10281	11138
240	10335	11107
241	10362	11047
242	10404	11004
243	10433	10946
244	10466	10894
245	10516	10858
246	10566	10823
247	10597	10767
248	10688	10774
249	10711	10711
250	10754	10668
251	10766	10596
252	10830	10573
253	10892	10549
254	10925	10496
255	10982	10467
256	11048	10446
257	11107	10419
258	11140	10366
259	11170	10311
260	11220	10275
261	11257	10226
262	11302	10185
263	11338	101264264	11402	10111
265	11430	10055
266	11499	10035
267	11558	10005
268	11589	9952
269	11633	9910
270	11658	9851
271	11691	9800
272	11740	9761
273	11778	9714
274	11817	9669
275	11888	9648
276	11938	9611
277	11988	9573
278	12019	9520
279	12031	9453
280	12067	9404
281	12122	9371
282	12184	9343
283	12257	9322
284	12291	9272
285	12343	9236
286	12389	9195
287	12415	9139
288	12457	9095
289	12501	9052
290	12538	9005
291	12595	8972
292	12638	8929
293	12687	8889
294	12733	8848
295	12792	8816
296	12847	8781
297	12878	8729
298	12937	8696
299	12976	8650
300	13009	8600
301	13047	8554
302	13086	8508
303	13145	8475
304	13178	8425
305	13226	8385
306	13283	8350
307	13321	8304
308	13369	8263
309	13410	8219
310	13462	8181
311	13510	8140
312	13562	8102
313	13620	8068
314	13682	8035
315	13735	7998
316	13782	7956
317	13827	7913
318	13895	7884
319	13959	7852
320	13993	7803
321	14050	7767
322	14081	7716
323	14146	7684
324	14204	7648
325	14256	7609
326	14295	7563
327	14340	7519
328	14387	7477
329	14413	7425
330	14456	7381
331	14507	7341
332	14565	7304
333	14622	7267
334	14662	7221
335	14696	7173
336	14750	7134
337	14800	7093
338	14842	7049
339	14887	7005
340	14927	6960
341	14983	6922
342	15018	6874
343	15066	6832
344	15117	6792
345	15149	6742
346	15176	6691
347	15214	6645
348	15262	6603
349	15319	6565
350	15428	6549
351	15484	6510
352	15532	6468
353	15568	6420
354	15641	6388
355	15703	6351
356	15737	6303
357	15802	6268
358	15855	6227
359	15908	6186
360	15973	6150
361	16021	6107
362	16058	6060
363	16116	6021
364	16184	5986
365	16210	5935
366	16264	5894
367	16303	5848
368	16340	5801
369	16378	5754
370	16427	5711
371	16477	5669
372	16535	5630
373	16587	5588
374	16646	5548
375	16672	5498
376	16759	5468
377	16908	5457
378	16982	5421
379	17046	5382
380	17098	5340
381	17165	5302
382	17215	5259
383	17250	5210
384	17283	5162
385	17319	5114
386	17356	5067
387	17377	5016
388	17407	4967
389	17478	4929
390	17540	4889
391	17571	4841
392	17596	4790
393	17615	4739
394	17635	4688
395	17658	4637
396	17694	4590
397	17732	4544
398	17776	4499
399	17803	4450
400	17823	4400
401	17873	4357
402	17911	4311
403	17938	4262
404	17967	4214
405	18029	4174
406	18064	4127
407	18107	4083
408	18159	4040
409	18219	3999
410	18244	3950
411	18290	3906
412	18340	3863
413	18376	3817
414	18455	3780
415	18497	3734
416	18532	3688
417	18550	3639
418	18593	3594
419	18630	3548
420	18664	3502
421	18709	3458
422	18758	3414
423	18802	3370
424	18841	3325
425	18874	3278
426	18918	3234
427	18979	3192
428	19010	3146
429	19085	3107
430	19134	3063
431	19160	3016
432	19195	2970
433	19250	2927
434	19291	2882
435	19313	2834
436	19358	2790
437	19410	2747
438	19455	2703
439	19504	2659
440	19526	2612
441	19581	2569
442	19623	2524
443	19696	2484
444	19723	2437
445	19781	2395
446	19806	2348
447	19843	2303
448	19881	2258
449	19920	2213
450	19954	2168
451	19993	2123
452	20043	2079
453	20079	2034
454	20116	1989
455	20142	1943
456	20181	1898
457	20223	1854
458	20258	1809
459	20290	1764
460	20314	1718
461	20348	1673
462	20381	1628
463	20413	1583
464	20443	1538
465	20475	1493
466	20511	1449
467	20555	1405
468	20592	1361
